,ts_code,symbol,name,area,industry,market,list_status,list_date,delist_date,main_business
0,000001.SZ,000001,平安银行,深圳,银行,主板,L,19910403,,"主要业务:贷款,拆借,存放等同业业务,债券投资."
1,000002.SZ,000002,万科A,深圳,全国地产,主板,L,19910129,,房地产开发和物业服务
2,000004.SZ,000004,*ST国华,深圳,软件服务,主板,L,19910114,,"主要业务:移动互联网游戏业务,移动应用安全服务业务"
3,000006.SZ,000006,深振业A,深圳,区域地产,主板,L,19920427,,"主要产品或提供的服务:提供商品住宅,以及提供物业租赁服务."
4,000007.SZ,000007,全新好,深圳,其他商业,主板,L,19920413,,主营业务:物业管理和房屋租赁业
5,000008.SZ,000008,神州高铁,北京,运输设备,主板,L,19920507,,"主营业务:轨道交通,酒店服务"
6,000009.SZ,000009,中国宝安,深圳,电气设备,主板,L,19910625,,"主要业务:高新技术产业,房地产和生物医药"
7,000010.SZ,000010,美丽生态,深圳,建筑工程,主板,L,19951027,,主营业务:园林绿化业务
8,000011.SZ,000011,深物业A,深圳,房产服务,主板,L,19920330,,"主营业务:本公司以房地产开发为主业,出租车运营,物业管理与房屋租赁等为辅业."
9,000012.SZ,000012,南玻A,深圳,玻璃,主板,L,19920228,,"主要产品:玻璃及玻璃制品,电子元件."
10,000014.SZ,000014,沙河股份,深圳,全国地产,主板,L,19920602,,主要业务:房地产开发.
11,000016.SZ,000016,深康佳A,深圳,家用电器,主板,L,19920327,,"主要产品:彩色电视机,数字移动电话及其配套产品."
12,000017.SZ,000017,深中华A,深圳,服饰,主板,L,19920331,,"主要业务为珠宝黄金业务,自行车及新能锂电池材料业务"
13,000019.SZ,000019,深粮控股,深圳,农业综合,主板,L,19921012,,"主营业务在茶及天然植物精深加工为主的食品原料(配料)生产,研发和销售业务的基础上,新增粮油储备,粮油贸易,粮油加工等粮油流通及粮油储备服务业务."
14,000020.SZ,000020,深华发A,深圳,元器件,主板,L,19920428,,"主要产品:彩电,电路板,注塑件."
15,000021.SZ,000021,深科技,深圳,元器件,主板,L,19940202,,"主要产品:磁头产品,硬盘盘片,网络产品,光磁产品,内存条及U盘."
16,000025.SZ,000025,特力A,深圳,综合类,主板,L,19930621,,"主营业务;汽车销售,汽车检测维修及配件销售,物业租赁及服务等."
17,000026.SZ,000026,飞亚达,深圳,服饰,主板,L,19930603,,"主要业务:钟表及其零配件的设计开发,制造,销售和维修,包括“飞亚达”表的产品经营和世界名表的商业连锁销售;以及飞亚达大厦的物业经营."
18,000027.SZ,000027,深圳能源,深圳,火力发电,主板,L,19930903,,"主要业务:是各种常规能源和新能源的开发,生产,购销,以及城市固体废物处理,城市燃气供应和废水处理等."
19,000028.SZ,000028,国药一致,深圳,医药商业,主板,L,19930809,,"主要业务:制药,医药批发零售.主要产品:头孢类系列产品,健儿清解液."
20,000029.SZ,000029,深深房A,深圳,区域地产,主板,L,19930915,,"主要业务:房地产开发,房屋租赁,建筑施工安装,物业管理,酒店饮食服务,商品流通."
21,000030.SZ,000030,富奥股份,吉林,汽车配件,主板,L,19930929,,"主要产品:底盘系统,环境系统,制动和传动系统,转向及安全系统,电子电器系统,发动机附件系统等六大系列.主要业务:汽车零部件的研发,生产和销售."
22,000031.SZ,000031,大悦城,深圳,全国地产,主板,L,19931008,,"主要业务:住宅,商业物业,工业物业,酒店经营"
23,000032.SZ,000032,深桑达A,深圳,建筑工程,主板,L,19931028,,"主要业务:电子设备,电子元器件,电子消费通信产品的生产,销售及房地产开发.主要产品:彩电回扫变压器,手机,“棕榈湾”楼盘,模块电源."
24,000034.SZ,000034,神州数码,深圳,软件服务,主板,L,19940509,,"移动办公设备,笔记本电脑,显示设备,服务器,存储设备,网络设备,计算机配件"
25,000035.SZ,000035,中国天楹,江苏,环境保护,主板,L,19940408,,"主营业务:以BOO,BOT方式投资,建设和运营城市生活垃圾焚烧发电项目,研发,生产,销售垃圾焚烧发电及环保成套设备"
26,000036.SZ,000036,华联控股,深圳,全国地产,主板,L,19940617,,主要业务:房地产开发和自有物业租赁管理业务.
27,000037.SZ,000037,深南电A,深圳,火力发电,主板,L,19940701,,"主要业务:生产经营供电供热,从事发电厂(站)的相关技术咨询和技术服务."
28,000039.SZ,000039,中集集团,深圳,运输设备,主板,L,19940408,,"主要产品:集装箱,道路运输车辆,能源,化工及液态食品装备等.主营业务:现代化交通运输装备,能源,化工及液态食品装备,海洋工程装备,物流服务,空港装备的制造及服务业务."
29,000042.SZ,000042,中洲控股,深圳,全国地产,主板,L,19940921,,主营业务:房地产开发
30,000045.SZ,000045,深纺织A,深圳,元器件,主板,L,19940815,,"主要业务:纺织服装及其相关产品的生产,贸易,物业租赁管理."
31,000048.SZ,000048,京基智农,深圳,区域地产,主板,L,19941101,,"主要业务为生猪养殖与销售,饲料生产与销售,种鸡,肉鸡养殖与销售,房地产开发."
32,000049.SZ,000049,德赛电池,深圳,电气设备,主板,L,19950320,,主营业务:以生产制造电源管理系统及各类锂电池为主.
33,000050.SZ,000050,深天马A,深圳,元器件,主板,L,19950315,,"主要产品:液晶显示器,液晶显示模块."
34,000055.SZ,000055,方大集团,深圳,其他建材,主板,L,19960415,,"主要产品:节能幕墙,光电幕墙,LED彩显幕墙等各类建筑幕墙及铝板材料;太阳能光伏;房地产等.轨道交通屏蔽门系统;主营业务:高端幕墙系统及材料,轨道交通设备及系统,太阳能光伏发电,房地产和金融等板块."
35,000056.SZ,000056,皇庭国际,深圳,其他商业,主板,L,19960708,,"主要业务:连锁商业经营,房地产开发和物业管理."
36,000058.SZ,000058,深赛格,深圳,商品城,主板,L,19961226,,"主营业务是电子专业市场及配套项目的开发及经营,物业租赁服务业务,IT产品渠道零售终端业务,电子商务和小额贷款增值业务.主要业务为租赁业务和其他第三产业,经营与管理电子专业市场."
37,000059.SZ,000059,华锦股份,辽宁,石油加工,主板,L,19970130,,"主要业务:石油化工产品,化学肥料的生产与销售"
38,000060.SZ,000060,中金岭南,深圳,铅锌,主板,L,19970123,,"主要产品:铅锭,锌锭及锌合金,白银,黄金,镉锭,锗锭,铟锭,工业硫酸,硫磺等产品.主要业务:铅锌矿的开采,选矿以及铅锌金属的冶炼."
39,000061.SZ,000061,农产品,深圳,农业综合,主板,L,19970110,,"主要业务:农产品批发市场,商场销售,农产品加工生产养殖,农产品配套服务."
40,000062.SZ,000062,深圳华强,深圳,元器件,主板,L,19970130,,"主营业务为电子元器件线下分销,电子元器件线上交易平台,电子元器件及电子终端产品线下交易平台,品牌终端产品线上分销,硬件+互联网的创新创业服务,其他物业经营等"
41,000063.SZ,000063,中兴通讯,深圳,通信设备,主板,L,19971118,,"主要业务为无线通信系统,有线交换和接入系统,数据通讯系统,多媒体通讯系统,光通信系统,卫星及微波通讯系统,移动通信终端,电信软件业务开发与生产以及包括承包境内外通讯工程和国际招标在内的各种对内,外经济技术合作业务,电信工程专业承包.主要产品:无线通信产品,有线交换及接入产品,数据及光通信产品,移动通信终端产品."
42,000065.SZ,000065,北方国际,北京,建筑工程,主板,L,19980605,,"主要业务:国际工程承包,国内建筑安装,产品生产销售."
43,000066.SZ,000066,中国长城,深圳,IT设备,主板,L,19970626,,"主要产品:电脑及外设,技术服务."
44,000068.SZ,000068,华控赛格,深圳,环境保护,主板,L,19970611,,"主要业务:节能环保,新材料行业主要产品:环保设备及材料,技术咨询规划服务,电子元器件"
45,000069.SZ,000069,华侨城A,深圳,全国地产,主板,L,19970910,,"主营业务为旅游综合,房地产和纸包装业务."
46,000070.SZ,000070,特发信息,深圳,通信设备,主板,L,20000511,,"主要产品:光缆,光传输设备,铝电解电容器,有线电视产品."
47,000078.SZ,000078,海王生物,深圳,医药商业,主板,L,19981218,,"主要业务:医药制造,医药商业流通.主要产品:银杏叶片,博宁,银得菲,海王金樽,海王牛初乳,α-2b干扰素,白介素,海王眼之宝,葡萄糖注射液,复方氨基酸注射液,复方甘草片(合剂),新福菌素针,海菊颗粒等."
48,000088.SZ,000088,盐田港,深圳,港口,主板,L,19970728,,"主要业务:集装箱码头装卸业务,高速公路运输业务,隧道疏港运输业务,仓储,运输业务,商品混凝土生产业务."
49,000089.SZ,000089,深圳机场,深圳,机场,主板,L,19980420,,主要业务:航空主业以及航空主业延伸出的非航空业务.
50,000090.SZ,000090,天健集团,深圳,建筑工程,主板,L,19990721,,"主营业务:房地产开发与经营,市政工程建设和管理."
51,000096.SZ,000096,广聚能源,深圳,石油贸易,主板,L,20000724,,"主要业务:石油制品,液化石油气销售及电力投资."
52,000099.SZ,000099,中信海直,深圳,空运,主板,L,20000731,,主要业务:通航飞行业务和维修业务.
53,000100.SZ,000100,TCL科技,广东,元器件,主板,L,20040130,,"主要业务:多媒体电子业务,通信业务,电脑,家电,电气业务.主要产品:多媒体产品,其他家电产品,移动电话,电脑,电话机,电工产品,IT产品."
54,000151.SZ,000151,中成股份,北京,商贸代理,主板,L,20000906,,"主营业务:成套设备与技术进出口,一般贸易和境外实业投资."
55,000153.SZ,000153,丰原药业,安徽,化学制药,主板,L,20000920,,"主要产品:中药及其制剂,化学合成药及其制剂,生物药及其制剂."
56,000155.SZ,000155,川能动力,四川,新型电力,主板,L,20000926,,"主要业务:风力发电,光伏发电"
57,000156.SZ,000156,华数传媒,浙江,影视音像,主板,L,20000906,,"主要业务:杭州地区有线电视网络业务,宽带网络业务及全国范围内的新媒体业务."
58,000157.SZ,000157,中联重科,湖南,工程机械,主板,L,20001012,,"主要业务:混凝土机械,起重机械,环卫机械,路面机械,非开挖设备等基础设施重大装备及其配套部件的生产和销售.主要产品:混凝土机械,起重机械,环卫机械,路面机械."
59,000158.SZ,000158,常山北明,河北,软件服务,主板,L,20000724,,"主要业务:纺织业务和软件,信息技术服务业务."
60,000159.SZ,000159,国际实业,新疆,石油贸易,主板,L,20000926,,"主要业务:机电设备,化工产品,轻工产品,建筑材料,金属材料,现代办公用品,畜产品,农副产品,针,棉纺织品的销售,进出口业务,麻黄素及麻黄素类产品的出口;房地产开发,销售,租赁;原煤,焦炭及煤焦化附产品的销售."
61,000166.SZ,000166,申万宏源,新疆,证券,主板,L,20150126,,"主营业务:金融投资,股权投资等"
62,000301.SZ,000301,东方盛虹,江苏,化纤,主板,L,20000529,,"主营业务:纺织,贸易,电力,热能,房地产."
63,000333.SZ,000333,美的集团,广东,家用电器,主板,L,20130918,,"以家电产业为主,涉足电机,物流等领域,旗下分为四大业务板块,分别为大家电,小家电,电机及物流"
64,000338.SZ,000338,潍柴动力,山东,汽车配件,主板,L,20070430,,"主要产品:全系列发动机,重型汽车,轻微型车,工程机械,液压产品,汽车电子及零部件等."
65,000400.SZ,000400,许继电气,河南,电气设备,主板,L,19970418,,"主要产品:电力保护及自动化设备,干式变压器,电力开关,继电器及装置,电能仪表,电缆桥架."
66,000401.SZ,000401,冀东水泥,河北,水泥,主板,L,19960614,,"主要业务:硅酸盐水泥制造,销售.主要产品:“盾石”牌42.5R,32.5R低碱高品质硅酸盐水泥."
67,000402.SZ,000402,金融街,北京,全国地产,主板,L,19960626,,"主要业务:北京金融街的总体规划,土地开发,房产开发,房屋租赁和综合管理."
68,000403.SZ,000403,派林生物,山西,生物制药,主板,L,19960628,,"主营业务:血液制品的研究,开发,生产和销售.主要产品:人血白蛋白,静注人免疫球蛋白(pH4),人免疫球蛋白,乙型肝炎人免疫球蛋白,破伤风人免疫球蛋白,狂犬病人免疫球蛋白"
69,000404.SZ,000404,长虹华意,江西,家用电器,主板,L,19960619,,主要业务:无氟压缩机的生产和销售.主要产品:压缩机.
70,000407.SZ,000407,胜利股份,山东,供气供热,主板,L,19960703,,"主营业务:暂由天然气,农化,塑胶等产业组成."
71,000408.SZ,000408,藏格矿业,青海,农药化肥,主板,L,19960628,,主营业务:氯化钾的生产和销售
72,000409.SZ,000409,云鼎科技,山东,软件服务,主板,L,19960627,,"主要业务:工业互联网平台,智能矿山业务,智能洗选业务,智慧电力新能源业务,ERP实施及运维服务"
73,000410.SZ,000410,沈阳机床,辽宁,机床制造,主板,L,19960718,,"主要产品:卧式加工中心,立式加工中心,卧式数控车床,立式数控车床,行业专机等"
74,000411.SZ,000411,英特集团,浙江,医药商业,主板,L,19960716,,"主要业务:药品,保健品,医疗器械,中成药和药材的生产,销售,及房地产开发和印染绸,服装的销售业务.主要产品:药品,中成药,药材."
75,000415.SZ,000415,渤海租赁,新疆,多元金融,主板,L,19960716,,"主营业务:租赁业,主要为境内外客户提供全方位的飞机租赁,集装箱租赁,基础设施租赁,大型设备租赁等租赁服务,包括经营租赁和融资租赁两大主营业务类型"
76,000417.SZ,000417,合百集团,安徽,百货,主板,L,19960812,,"主要业务:商业(百货业,超市)."
77,000419.SZ,000419,通程控股,湖南,百货,主板,L,19960816,,"主要业务:现代商贸,旅游酒店产业."
78,000420.SZ,000420,吉林化纤,吉林,化纤,主板,L,19960802,,"主要业务:生产销售粘胶长丝和粘胶短纤维.主要产品:粘胶长,短丝,浆粕."
79,000421.SZ,000421,南京公用,江苏,供气供热,主板,L,19960806,,"主要业务:汽车营运,房产开发,旅游服务,商业."
80,000422.SZ,000422,湖北宜化,湖北,农药化肥,主板,L,19960815,,"主要产品:尿素,磷酸二铵,聚氯乙烯,烧碱,合成氨,季戊四醇,保险粉,TMP,TPO等"
81,000423.SZ,000423,东阿阿胶,山东,中成药,主板,L,19960729,,"主要产品:阿胶及系列产品,保健食品,医疗器械,药用辅料."
82,000425.SZ,000425,徐工机械,江苏,工程机械,主板,L,19960828,,"主要产品:压实机械,铲运机械,路面机械,筑路机械."
83,000426.SZ,000426,兴业银锡,内蒙,铅锌,主板,L,19960828,,"主营业务:本公司以有色金属采选,冶炼,加工,销售为主业"
84,000428.SZ,000428,华天酒店,湖南,酒店餐饮,主板,L,19960808,,"主营业务:酒店服务,房地产,酒店资产运营,生产制造业等.主要产品:餐饮,客房,娱乐,光电子产品."
85,000429.SZ,000429,粤高速A,广东,路桥,主板,L,19980220,,主要业务:高速公路和特大桥梁的商业开发和经营.
86,000430.SZ,000430,ST张家界,湖南,旅游景点,主板,L,19960829,,"主营业务:(1)旅游景区经营;(2)旅游客运;(3)旅行社经营;(4)旅游客运索道经营;(5)其他:酒店经营,房屋租赁等."
87,000488.SZ,000488,ST晨鸣,山东,造纸,主板,L,20001120,,"主要产品及劳务分别为机制纸,建筑材料,电及汽及其他."
88,000498.SZ,000498,山东路桥,山东,建筑工程,主板,L,19970609,,主营业务:路桥工程施工和养护施工
89,000501.SZ,000501,武商集团,湖北,百货,主板,L,19921120,,主要业务:商业.
90,000503.SZ,000503,国新健康,山东,软件服务,主板,L,19921130,,"主要业务:健康保障服务行业,主营业务涵盖医保基金综合管理服务,健康医疗大数据服务,医药福利管理服务(PBM),商业健康保险第三方服务(TPA),医疗人工智能服务等五大领域."
91,000504.SZ,000504,*ST生物,湖南,医疗保健,主板,L,19921208,,"主要业务:生物医药,节能环保及基金资管"
92,000505.SZ,000505,京粮控股,海南,食品,主板,L,19921221,,"主营业务:油脂油料加工,油脂油料贸易及食品加工"
93,000506.SZ,000506,招金黄金,山东,黄金,主板,L,19930312,,"主营业务以黄金为主要品种的矿业开采,销售及自有房产的出租"
94,000507.SZ,000507,珠海港,广东,新型电力,主板,L,19930326,,"主要业务:港口航运,物流供应链,能源环保,港城建设及航运金融"
95,000509.SZ,000509,华塑控股,四川,元器件,主板,L,19930507,,"主要产品:显示器,IOT智能显示终端等"
96,000510.SZ,000510,新金路,四川,化工原料,主板,L,19930507,,"主要业务:生产销售PVC树脂,烧碱系列化工原料及其加工产品,白酒生产和销售,房地产业,天然气加工销售等."
97,000513.SZ,000513,丽珠集团,广东,化学制药,主板,L,19931028,,"主要业务:医药产品的生产,营销及科研.主要产品:丽珠得乐系列,头孢曲松钠,抗病毒颗粒,新瑞普欣,美伐他汀,6-APA,达吉,参芪扶正注射液."
98,000514.SZ,000514,渝开发,重庆,区域地产,主板,L,19930712,,"主要业务:房地产开发,代理土地整治."
99,000516.SZ,000516,国际医学,陕西,医疗保健,主板,L,19930809,,主要业务:医疗服务.
100,000517.SZ,000517,荣安地产,浙江,区域地产,主板,L,19930806,,主营业务为房地产开发及物业管理.
101,000518.SZ,000518,*ST四环,江苏,生物制药,主板,L,19930908,,"主要产品:德路生,新德路生,欣粒生,环尔博及园林绿化工程业务"
102,000519.SZ,000519,中兵红箭,湖南,专用机械,主板,L,19931008,,"主营业务为生产内燃机配件,主要产品包括各种内燃机的关键基础件——气缸套,铝活塞等.还包括超硬材料的研发,生产和销售,主要产品包括人造金刚石,立方氮化硼等超硬材料.还包括大口径炮弹,火箭弹,导弹,子弹药等军品的研发制造业务以及改装车,专用车,车底盘结构件及其他配件系列产品等民品业务"
103,000520.SZ,000520,凤凰航运,湖北,水运,主板,L,19931025,,"主营业务:船舶租赁,销售,维修及技术开发;引航,国内船舶代理,货运代理业务;劳务服务及水路运输相关业务;综合物流;对交通环保产业,交通科技产业的投资;高新科技产品研制,开发及应用."
104,000521.SZ,000521,长虹美菱,安徽,家用电器,主板,L,19931018,,"主要产品:冰箱柜,空调,洗衣机,厨卫,小家电和生物医疗低温存储设备等"
105,000523.SZ,000523,红棉股份,广东,食品,主板,L,19931108,,"主要业务:“浪奇”和“高富力”等品牌的洗涤用品和磺酸,精甘油,AES等化工原料的开发,生产和销售."
106,000524.SZ,000524,岭南控股,广东,旅游服务,主板,L,19931118,,"主营业务:商旅出行,住宿,餐饮,会展,景区,汽车服务等"
107,000525.SZ,000525,红太阳,江苏,农药化肥,主板,L,19931028,,"主要产品:农药,化肥."
